,number,value,datetime_start,datetime_complete,duration,params_Bayes_prior_positive,params_Bayes_var_smoothing,params_GB_ccp_alpha,params_GB_criterion,params_GB_learning_rate,params_GB_loss,params_GB_max_depth,params_GB_max_features,params_GB_min_impurity_decrease,params_GB_min_samples_leaf,params_GB_min_samples_split,params_GB_n_estimators,params_GB_subsample,params_GB_tol,params_GB_validation_fraction,params_Method,params_SVM_C,params_SVM_coef0,params_SVM_decision_function_shape,params_SVM_degree,params_SVM_gamma,params_SVM_kernel,params_SVM_shrinking,params_SVM_tol,params_Tree_ccp_alpha,params_Tree_criterion,params_Tree_max_features,params_Tree_min_impurity_decrease,params_Tree_min_samples_leaf,params_Tree_min_samples_split,params_Tree_min_weight_fraction_leaf,params_Tree_splitter,params_kNN_algorithm,params_kNN_leaf_size,params_kNN_n_neighbors,params_kNN_p,params_kNN_weights,state
0,0,0.8627777777777779,2023-03-02 00:30:15.980047,2023-03-02 00:30:15.995047,0 days 00:00:00.015000,0.5762609498174669,0.6579150783281474,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
1,1,0.5,2023-03-02 00:30:15.981048,2023-03-02 00:30:16.010049,0 days 00:00:00.029001,,,,,,,,,,,,,,,,Tree,,,,,,,,,746.0164102661874,gini,0.08410505233689747,539.1774706542801,0.35406413151526545,0.6797360900886599,0.46304243547634283,best,,,,,,COMPLETE
2,2,0.8096296296296297,2023-03-02 00:30:15.982047,2023-03-02 00:30:16.530025,0 days 00:00:00.547978,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,kd_tree,351.0,452.0,598.0,distance,COMPLETE
3,3,0.5,2023-03-02 00:30:15.984050,2023-03-02 00:30:16.035052,0 days 00:00:00.051002,,,,,,,,,,,,,,,,Tree,,,,,,,,,7.762604104269558,entropy,0.25157225786656423,629.7833830756881,0.37846424365117404,0.1398642189027932,0.2932555544432473,random,,,,,,COMPLETE
4,4,0.5,2023-03-02 00:30:15.985047,2023-03-02 00:30:17.828890,0 days 00:00:01.843843,,,696.7942401167278,friedman_mse,7.761560446125403,deviance,14.0,0.8717762994653797,382.8561235311545,0.43134566499968413,0.29776689256097255,498.0,0.6564999565120856,0.1273700159176037,0.7163132177078263,Gradient Boosting,,,,,,,,,,,,,,,,,,,,,,COMPLETE
5,5,0.6667592592592593,2023-03-02 00:30:15.987047,2023-03-02 00:30:16.605027,0 days 00:00:00.617980,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,ball_tree,114.0,391.0,552.0,uniform,COMPLETE
6,6,0.8618518518518519,2023-03-02 00:30:15.990047,2023-03-02 00:30:16.022049,0 days 00:00:00.032002,0.3942523728271907,0.8660998068149135,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
7,7,0.8220370370370371,2023-03-02 00:30:15.991047,2023-03-02 00:30:16.132048,0 days 00:00:00.141001,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,kd_tree,394.0,19.0,947.0,uniform,COMPLETE
8,8,0.8466666666666667,2023-03-02 00:30:16.004047,2023-03-02 00:30:16.164047,0 days 00:00:00.160000,,,,,,,,,,,,,,,,kNN,,,,,,,,,,,,,,,,,ball_tree,120.0,50.0,267.0,distance,COMPLETE
9,9,0.8633333333333333,2023-03-02 00:30:16.027050,2023-03-02 00:30:16.060049,0 days 00:00:00.032999,0.7238906548513668,0.505173251349263,,,,,,,,,,,,,,Bayes,,,,,,,,,,,,,,,,,,,,,,COMPLETE
